,Hybrid,Hybrid_Parent1,Hybrid_Parent2,hybrid_occurrences,p1_children,p2_children
2692,PHN11_PHW65_0663/PHT69,PHN11_PHW65_0663,PHT69,21,2,594
2693,PHN46/LH244,PHN46,LH244,99,1,512
2694,PHN66/LH123HT,PHN66,LH123HT,60,16,11
2695,PHN66/LH185,PHN66,LH185,56,16,229
2696,PHN66/LH38,PHN66,LH38,60,16,6
2697,PHN66/LH51,PHN66,LH51,60,16,7
2698,PHN66/LH82,PHN66,LH82,69,16,205
2699,PHN66/PHG29,PHN66,PHG29,60,16,6
2700,PHN66/PHG47,PHN66,PHG47,60,16,8
2701,PHN66/PHG83,PHN66,PHG83,60,16,6
2702,PHN66/PHK56,PHN66,PHK56,60,16,9
2703,PHN66/PHK76,PHN66,PHK76,28,16,384
2704,PHN66/PHN37,PHN66,PHN37,28,16,6
2705,PHN66/PHN82,PHN66,PHN82,60,16,14
2706,PHN66/PHR55,PHN66,PHR55,60,16,9
2707,PHN66/PHW30,PHN66,PHW30,60,16,9
2708,PHN66/PHZ51,PHN66,PHZ51,70,16,670
2709,PHN66/Q381,PHN66,Q381,60,16,9
2710,PHN82/LH145,PHN82,LH145,46,7,14
2711,PHN82/LH82,PHN82,LH82,16,7,205
2712,PHN82/PHHV4,PHN82,PHHV4,46,7,9
2713,PHN82/PHRE1,PHN82,PHRE1,44,7,14
2714,PHN82/PHZ51,PHN82,PHZ51,15,7,670
2715,PHN82/S8324,PHN82,S8324,46,7,11
2716,PHP02/LH244,PHP02,LH244,131,3,512
2717,PHP02/PHB47,PHP02,PHB47,154,3,277
2718,PHP02/PHG47,PHP02,PHG47,56,3,8
2719,PHP38/LH123HT,PHP38,LH123HT,38,15,11
2720,PHP38/LH185,PHP38,LH185,38,15,229
2721,PHP38/LH210,PHP38,LH210,38,15,5
2722,PHP38/PHJ65,PHP38,PHJ65,38,15,5
2723,PHP38/PHM49,PHP38,PHM49,39,15,8
2724,PHP38/PHM57,PHP38,PHM57,20,15,5
2725,PHP38/PHN47,PHP38,PHN47,38,15,5
2726,PHP38/PHN82,PHP38,PHN82,38,15,14
2727,PHP38/PHP60,PHP38,PHP60,38,15,5
2728,PHP38/PHR03,PHP38,PHR03,38,15,5
2729,PHP38/PHR55,PHP38,PHR55,38,15,9
2730,PHP38/PHR63,PHP38,PHR63,38,15,5
2731,PHP38/PHW30,PHP38,PHW30,38,15,9
2732,PHP38/PHW53,PHP38,PHW53,38,15,5
2733,PHP38/Q381,PHP38,Q381,38,15,9
2734,PHP55/LH244,PHP55,LH244,93,1,512
2735,PHP85/DK3IIH6,PHP85,DK3IIH6,70,1,153
2736,PHR03/LH244,PHR03,LH244,124,1,512
2737,PHR25/LH82,PHR25,LH82,17,3,205
2738,PHR25/PHZ51,PHR25,PHZ51,10,3,670
2739,PHRE1/LH162,PHRE1,LH162,22,7,28
2740,PHRE1/PHR25,PHRE1,PHR25,46,7,6
2741,PHRE1/PHTD5,PHRE1,PHTD5,230,7,1
2742,PHRE1/PHZ51,PHRE1,PHZ51,17,7,670
2743,PHRE1/PHZ51,PHZ51,PHRE1,20,7,14
2744,PHT55/LH82,PHT55,LH82,10,3,205
2745,PHT55/PHB47,PHT55,PHB47,6,3,277
2746,PHT55/PHZ51,PHT55,PHZ51,6,3,670
2747,PHT69/DK3IIH6,PHT69,DK3IIH6,82,3,153
2748,PHT69/LH82,PHT69,LH82,4,3,205
2749,PHT69/PHZ51,PHT69,PHZ51,4,3,670
2750,PHV37/DK3IIH6,PHV37,DK3IIH6,66,1,153
2751,PHV63/LH123HT,PHV63,LH123HT,38,23,11
2752,PHV63/LH185,PHV63,LH185,18,23,229
2753,PHV63/LH195,PHV63,LH195,45,23,809
2754,PHV63/LH210,PHV63,LH210,18,23,5
2755,PHV63/LH82,PHV63,LH82,8,23,205
2756,PHV63/NK787,PHV63,NK787,38,23,4
2757,PHV63/PB80,PHV63,PB80,31,23,165
2758,PHV63/PGM49,PHV63,PGM49,20,23,1
2759,PHV63/PH210,PHV63,PH210,20,23,1
2760,PHV63/PHB47,PHV63,PHB47,3,23,277
2761,PHV63/PHJ65,PHV63,PHJ65,38,23,5
2762,PHV63/PHM49,PHV63,PHM49,18,23,8
2763,PHV63/PHM57,PHV63,PHM57,38,23,5
2764,PHV63/PHN47,PHV63,PHN47,38,23,5
2765,PHV63/PHN82,PHV63,PHN82,39,23,14
2766,PHV63/PHP60,PHV63,PHP60,38,23,5
2767,PHV63/PHR03,PHV63,PHR03,38,23,5
2768,PHV63/PHR55,PHV63,PHR55,38,23,9
2769,PHV63/PHR63,PHV63,PHR63,38,23,5
2770,PHV63/PHW30,PHV63,PHW30,38,23,9
2771,PHV63/PHW53,PHV63,PHW53,38,23,5
2772,PHV63/PHZ51,PHV63,PHZ51,46,23,670
2773,PHV63/Q381,PHV63,Q381,38,23,9
2774,PHW03/LH145,PHW03,LH145,46,3,14
2775,PHW03/PHRE1,PHW03,PHRE1,9,3,14
2776,PHW03/S8324,PHW03,S8324,46,3,11
2777,PHW30/LH244,PHW30,LH244,132,4,512
2778,PHW30/LH82,PHW30,LH82,8,4,205
2779,PHW30/PHZ51,PHW30,PHZ51,5,4,670
2780,PHW30_MO17-010-(2N)-01/LH244,PHW30_MO17-010-(2N)-01,LH244,83,1,512
2781,PHW30_MO17-032-(2N)-01/LH244,PHW30_MO17-032-(2N)-01,LH244,78,1,512
2782,PHW30_MO17-095-(2N)-01/LH244,PHW30_MO17-095-(2N)-01,LH244,81,1,512
2783,PHW30_MO17-129-(2N)-01/LH244,PHW30_MO17-129-(2N)-01,LH244,90,1,512
2784,PHW30_MO17-178-(2N)-01/LH244,PHW30_MO17-178-(2N)-01,LH244,59,1,512
2785,PHW30_MO17-234-(2N)-02/LH244,PHW30_MO17-234-(2N)-02,LH244,89,1,512
2786,PHW30_MO17-299-(2N)-01/LH244,PHW30_MO17-299-(2N)-01,LH244,30,1,512
2787,PHW52/LH123HT,PHW52,LH123HT,60,28,11
2788,PHW52/LH185,PHW52,LH185,98,28,229
2789,PHW52/LH210,PHW52,LH210,38,28,5
2790,PHW52/LH38,PHW52,LH38,60,28,6
2791,PHW52/LH51,PHW52,LH51,60,28,7
2792,PHW52/LH82,PHW52,LH82,60,28,205
2793,PHW52/NK787,PHW52,NK787,38,28,4
2794,PHW52/PHG29,PHW52,PHG29,60,28,6
2795,PHW52/PHG35,PHW52,PHG35,100,28,4
2796,PHW52/PHG47,PHW52,PHG47,60,28,8
2797,PHW52/PHG83,PHW52,PHG83,60,28,6
2798,PHW52/PHJ65,PHW52,PHJ65,38,28,5
2799,PHW52/PHK56,PHW52,PHK56,60,28,9
2800,PHW52/PHK76,PHW52,PHK76,28,28,384
2801,PHW52/PHM49,PHW52,PHM49,762,28,8
2802,PHW52/PHM57,PHW52,PHM57,20,28,5
2803,PHW52/PHN37,PHW52,PHN37,46,28,6
2804,PHW52/PHN47,PHW52,PHN47,38,28,5
2805,PHW52/PHN82,PHW52,PHN82,791,28,14
2806,PHW52/PHP60,PHW52,PHP60,29,28,5
2807,PHW52/PHR03,PHW52,PHR03,47,28,5
2808,PHW52/PHR55,PHW52,PHR55,98,28,9
2809,PHW52/PHR63,PHW52,PHR63,38,28,5
2810,PHW52/PHW30,PHW52,PHW30,98,28,9
2811,PHW52/PHW53,PHW52,PHW53,38,28,5
2812,PHW52/PHZ51,PHW52,PHZ51,97,28,670
2813,PHW52/Q381,PHW52,Q381,98,28,9
2814,PHW52/TX205,PHW52,TX205,144,28,4
2815,PHW53/LH123HT,PHW53,LH123HT,16,4,11
2816,PHW53/LH82,PHW53,LH82,13,4,205
2817,PHW53/PHB47,PHW53,PHB47,9,4,277
2818,PHW53/PHZ51,PHW53,PHZ51,15,4,670
2819,PHW65/LH195,PHW65,LH195,96,6,809
2820,PHW65/LH244,PHW65,LH244,28,6,512
2821,PHW65/LH82,PHW65,LH82,7,6,205
2822,PHW65/PHB47,PHW65,PHB47,9,6,277
2823,PHW65/PHT69,PHW65,PHT69,63,6,594
2824,PHW65/PHZ51,PHW65,PHZ51,10,6,670
2825,PHW65_MOG_0001/LH195,PHW65_MOG_0001,LH195,51,2,809
2826,PHW65_MOG_0001/PHT69,PHW65_MOG_0001,PHT69,8,2,594
2827,PHW65_MOG_0003/LH195,PHW65_MOG_0003,LH195,51,2,809
2828,PHW65_MOG_0003/PHT69,PHW65_MOG_0003,PHT69,23,2,594
2829,PHW65_MOG_0006/LH195,PHW65_MOG_0006,LH195,50,2,809
2830,PHW65_MOG_0006/PHT69,PHW65_MOG_0006,PHT69,31,2,594
2831,PHW65_MOG_0009/LH195,PHW65_MOG_0009,LH195,20,2,809
2832,PHW65_MOG_0009/PHT69,PHW65_MOG_0009,PHT69,17,2,594
2833,PHW65_MOG_0012/LH185,PHW65_MOG_0012,LH185,13,6,229
2834,PHW65_MOG_0012/LH195,PHW65_MOG_0012,LH195,69,6,809
2835,PHW65_MOG_0012/LH198,PHW65_MOG_0012,LH198,6,6,213
2836,PHW65_MOG_0012/PB80,PHW65_MOG_0012,PB80,4,6,165
2837,PHW65_MOG_0012/PHB47,PHW65_MOG_0012,PHB47,4,6,277
2838,PHW65_MOG_0012/PHT69,PHW65_MOG_0012,PHT69,18,6,594
2839,PHW65_MOG_0014/LH195,PHW65_MOG_0014,LH195,53,2,809
2840,PHW65_MOG_0014/PHT69,PHW65_MOG_0014,PHT69,11,2,594
2841,PHW65_MOG_0015/LH195,PHW65_MOG_0015,LH195,23,2,809
2842,PHW65_MOG_0015/PHT69,PHW65_MOG_0015,PHT69,18,2,594
2843,PHW65_MOG_0016/LH195,PHW65_MOG_0016,LH195,21,2,809
2844,PHW65_MOG_0016/PHT69,PHW65_MOG_0016,PHT69,12,2,594
2845,PHW65_MOG_0017/LH195,PHW65_MOG_0017,LH195,50,2,809
2846,PHW65_MOG_0017/PHT69,PHW65_MOG_0017,PHT69,24,2,594
2847,PHW65_MOG_0018/LH195,PHW65_MOG_0018,LH195,52,2,809
2848,PHW65_MOG_0018/PHT69,PHW65_MOG_0018,PHT69,24,2,594
2849,PHW65_MOG_0021/LH195,PHW65_MOG_0021,LH195,50,2,809
2850,PHW65_MOG_0021/PHT69,PHW65_MOG_0021,PHT69,35,2,594
2851,PHW65_MOG_0022/LH195,PHW65_MOG_0022,LH195,51,2,809
2852,PHW65_MOG_0022/PHT69,PHW65_MOG_0022,PHT69,23,2,594
2853,PHW65_MOG_0024/LH195,PHW65_MOG_0024,LH195,50,2,809
2854,PHW65_MOG_0024/PHT69,PHW65_MOG_0024,PHT69,28,2,594
2855,PHW65_MOG_0025/LH195,PHW65_MOG_0025,LH195,22,2,809
2856,PHW65_MOG_0025/PHT69,PHW65_MOG_0025,PHT69,29,2,594
2857,PHW65_MOG_0029/LH195,PHW65_MOG_0029,LH195,66,4,809
2858,PHW65_MOG_0029/PB80,PHW65_MOG_0029,PB80,8,4,165
2859,PHW65_MOG_0029/PHB47,PHW65_MOG_0029,PHB47,8,4,277
2860,PHW65_MOG_0029/PHT69,PHW65_MOG_0029,PHT69,24,4,594
2861,PHW65_MOG_0032/LH195,PHW65_MOG_0032,LH195,47,2,809
2862,PHW65_MOG_0032/PHT69,PHW65_MOG_0032,PHT69,28,2,594
2863,PHW65_MOG_0034/LH195,PHW65_MOG_0034,LH195,22,2,809
2864,PHW65_MOG_0034/PHT69,PHW65_MOG_0034,PHT69,12,2,594
2865,PHW65_MOG_0036/LH195,PHW65_MOG_0036,LH195,51,2,809
2866,PHW65_MOG_0036/PHT69,PHW65_MOG_0036,PHT69,35,2,594
2867,PHW65_MOG_0037/LH195,PHW65_MOG_0037,LH195,48,2,809
2868,PHW65_MOG_0037/PHT69,PHW65_MOG_0037,PHT69,20,2,594
2869,PHW65_MOG_0038/LH195,PHW65_MOG_0038,LH195,20,2,809
2870,PHW65_MOG_0038/PHT69,PHW65_MOG_0038,PHT69,16,2,594
2871,PHW65_MOG_0040/LH195,PHW65_MOG_0040,LH195,21,2,809
2872,PHW65_MOG_0040/PHT69,PHW65_MOG_0040,PHT69,21,2,594
2873,PHW65_MOG_0041/LH195,PHW65_MOG_0041,LH195,50,2,809
2874,PHW65_MOG_0041/PHT69,PHW65_MOG_0041,PHT69,33,2,594
2875,PHW65_MOG_0048/LH195,PHW65_MOG_0048,LH195,21,2,809
2876,PHW65_MOG_0048/PHT69,PHW65_MOG_0048,PHT69,9,2,594
2877,PHW65_MOG_0050/LH195,PHW65_MOG_0050,LH195,55,2,809
2878,PHW65_MOG_0050/PHT69,PHW65_MOG_0050,PHT69,26,2,594
2879,PHW65_MOG_0051/LH195,PHW65_MOG_0051,LH195,21,2,809
2880,PHW65_MOG_0051/PHT69,PHW65_MOG_0051,PHT69,18,2,594
2881,PHW65_MOG_0052/LH195,PHW65_MOG_0052,LH195,47,2,809
2882,PHW65_MOG_0052/PHT69,PHW65_MOG_0052,PHT69,19,2,594
2883,PHW65_MOG_0054/LH195,PHW65_MOG_0054,LH195,19,2,809
2884,PHW65_MOG_0054/PHT69,PHW65_MOG_0054,PHT69,19,2,594
2885,PHW65_MOG_0055/LH195,PHW65_MOG_0055,LH195,20,2,809
2886,PHW65_MOG_0055/PHT69,PHW65_MOG_0055,PHT69,23,2,594
2887,PHW65_MOG_0056/LH195,PHW65_MOG_0056,LH195,22,2,809
2888,PHW65_MOG_0056/PHT69,PHW65_MOG_0056,PHT69,23,2,594
2889,PHW65_MOG_0057/LH195,PHW65_MOG_0057,LH195,49,2,809
2890,PHW65_MOG_0057/PHT69,PHW65_MOG_0057,PHT69,32,2,594
2891,PHW65_MOG_0059/LH195,PHW65_MOG_0059,LH195,19,2,809
2892,PHW65_MOG_0059/PHT69,PHW65_MOG_0059,PHT69,9,2,594
2893,PHW65_MOG_0060/LH195,PHW65_MOG_0060,LH195,23,2,809
2894,PHW65_MOG_0060/PHT69,PHW65_MOG_0060,PHT69,31,2,594
2895,PHW65_MOG_0061/LH195,PHW65_MOG_0061,LH195,22,2,809
2896,PHW65_MOG_0061/PHT69,PHW65_MOG_0061,PHT69,25,2,594
2897,PHW65_MOG_0062/LH195,PHW65_MOG_0062,LH195,18,2,809
2898,PHW65_MOG_0062/PHT69,PHW65_MOG_0062,PHT69,23,2,594
2899,PHW65_MOG_0063/LH195,PHW65_MOG_0063,LH195,52,2,809
2900,PHW65_MOG_0063/PHT69,PHW65_MOG_0063,PHT69,23,2,594
2901,PHW65_MOG_0064/LH195,PHW65_MOG_0064,LH195,22,2,809
2902,PHW65_MOG_0064/PHT69,PHW65_MOG_0064,PHT69,11,2,594
2903,PHW65_MOG_0067/PHT69,PHW65_MOG_0067,PHT69,15,1,594
2904,PHW65_MOG_0068/LH195,PHW65_MOG_0068,LH195,20,2,809
2905,PHW65_MOG_0068/PHT69,PHW65_MOG_0068,PHT69,29,2,594
2906,PHW65_MOG_0069/LH195,PHW65_MOG_0069,LH195,21,2,809
2907,PHW65_MOG_0069/PHT69,PHW65_MOG_0069,PHT69,7,2,594
2908,PHW65_MOG_0071/LH195,PHW65_MOG_0071,LH195,21,2,809
2909,PHW65_MOG_0071/PHT69,PHW65_MOG_0071,PHT69,36,2,594
2910,PHW65_MOG_0072/LH195,PHW65_MOG_0072,LH195,20,2,809
2911,PHW65_MOG_0072/PHT69,PHW65_MOG_0072,PHT69,30,2,594
2912,PHW65_MOG_0075/LH195,PHW65_MOG_0075,LH195,22,2,809
2913,PHW65_MOG_0075/PHT69,PHW65_MOG_0075,PHT69,8,2,594
2914,PHW65_MOG_0079/LH195,PHW65_MOG_0079,LH195,51,2,809
2915,PHW65_MOG_0079/PHT69,PHW65_MOG_0079,PHT69,15,2,594
2916,PHW65_MOG_0082/LH195,PHW65_MOG_0082,LH195,48,2,809
2917,PHW65_MOG_0082/PHT69,PHW65_MOG_0082,PHT69,9,2,594
2918,PHW65_MOG_0085/LH195,PHW65_MOG_0085,LH195,49,2,809
2919,PHW65_MOG_0085/PHT69,PHW65_MOG_0085,PHT69,25,2,594
2920,PHW65_MOG_0086/LH195,PHW65_MOG_0086,LH195,20,2,809
2921,PHW65_MOG_0086/PHT69,PHW65_MOG_0086,PHT69,17,2,594
2922,PHW65_MOG_0087/LH195,PHW65_MOG_0087,LH195,21,2,809
2923,PHW65_MOG_0087/PHT69,PHW65_MOG_0087,PHT69,14,2,594
2924,PHW65_MOG_0089/LH195,PHW65_MOG_0089,LH195,22,2,809
2925,PHW65_MOG_0089/PHT69,PHW65_MOG_0089,PHT69,20,2,594
2926,PHW65_MOG_0096/LH195,PHW65_MOG_0096,LH195,49,2,809
2927,PHW65_MOG_0096/PHT69,PHW65_MOG_0096,PHT69,36,2,594
2928,PHW65_MOG_0098/LH195,PHW65_MOG_0098,LH195,19,2,809
2929,PHW65_MOG_0098/PHT69,PHW65_MOG_0098,PHT69,19,2,594
2930,PHW65_MOG_0106/LH195,PHW65_MOG_0106,LH195,23,2,809
2931,PHW65_MOG_0106/PHT69,PHW65_MOG_0106,PHT69,18,2,594
2932,PHW65_MOG_0108/LH195,PHW65_MOG_0108,LH195,49,2,809
2933,PHW65_MOG_0108/PHT69,PHW65_MOG_0108,PHT69,22,2,594
2934,PHW65_MOG_0109/LH195,PHW65_MOG_0109,LH195,49,2,809
2935,PHW65_MOG_0109/PHT69,PHW65_MOG_0109,PHT69,30,2,594
2936,PHW65_MOG_0111/LH195,PHW65_MOG_0111,LH195,50,2,809
2937,PHW65_MOG_0111/PHT69,PHW65_MOG_0111,PHT69,7,2,594
2938,PHW65_MOG_0115/LH195,PHW65_MOG_0115,LH195,18,2,809
2939,PHW65_MOG_0115/PHT69,PHW65_MOG_0115,PHT69,28,2,594
2940,PHW65_MOG_0116/LH195,PHW65_MOG_0116,LH195,23,2,809
2941,PHW65_MOG_0116/PHT69,PHW65_MOG_0116,PHT69,33,2,594
2942,PHW65_MOG_0117/LH195,PHW65_MOG_0117,LH195,20,2,809
2943,PHW65_MOG_0117/PHT69,PHW65_MOG_0117,PHT69,36,2,594
2944,PHW65_MOG_0118/LH195,PHW65_MOG_0118,LH195,21,2,809
2945,PHW65_MOG_0118/PHT69,PHW65_MOG_0118,PHT69,30,2,594
2946,PHW65_MOG_0119/LH195,PHW65_MOG_0119,LH195,19,2,809
2947,PHW65_MOG_0119/PHT69,PHW65_MOG_0119,PHT69,7,2,594
2948,PHW65_MOG_0121/LH195,PHW65_MOG_0121,LH195,51,2,809
2949,PHW65_MOG_0121/PHT69,PHW65_MOG_0121,PHT69,33,2,594
2950,PHW65_MOG_0122/LH195,PHW65_MOG_0122,LH195,49,2,809
2951,PHW65_MOG_0122/PHT69,PHW65_MOG_0122,PHT69,30,2,594
2952,PHW65_MOG_0124/LH195,PHW65_MOG_0124,LH195,22,2,809
2953,PHW65_MOG_0124/PHT69,PHW65_MOG_0124,PHT69,14,2,594
2954,PHW65_MOG_0125/LH195,PHW65_MOG_0125,LH195,21,2,809
2955,PHW65_MOG_0125/PHT69,PHW65_MOG_0125,PHT69,23,2,594
2956,PHW65_MOG_0126/LH195,PHW65_MOG_0126,LH195,49,2,809
2957,PHW65_MOG_0126/PHT69,PHW65_MOG_0126,PHT69,22,2,594
2958,PHW65_MOG_0127/LH195,PHW65_MOG_0127,LH195,49,2,809
2959,PHW65_MOG_0127/PHT69,PHW65_MOG_0127,PHT69,32,2,594
2960,PHW65_MOG_0128/LH195,PHW65_MOG_0128,LH195,19,2,809
2961,PHW65_MOG_0128/PHT69,PHW65_MOG_0128,PHT69,12,2,594
2962,PHW65_MOG_0129/PHT69,PHW65_MOG_0129,PHT69,7,1,594
2963,PHW65_MOG_0130/LH195,PHW65_MOG_0130,LH195,47,2,809
2964,PHW65_MOG_0130/PHT69,PHW65_MOG_0130,PHT69,31,2,594
2965,PHW65_MOG_0132/LH195,PHW65_MOG_0132,LH195,21,2,809
2966,PHW65_MOG_0132/PHT69,PHW65_MOG_0132,PHT69,27,2,594
2967,PHW65_MOG_0133/LH195,PHW65_MOG_0133,LH195,49,2,809
2968,PHW65_MOG_0133/PHT69,PHW65_MOG_0133,PHT69,19,2,594
2969,PHW65_MOG_0137/CG102,PHW65_MOG_0137,CG102,1,7,153
2970,PHW65_MOG_0137/LH185,PHW65_MOG_0137,LH185,23,7,229
2971,PHW65_MOG_0137/LH195,PHW65_MOG_0137,LH195,129,7,809
2972,PHW65_MOG_0137/LH198,PHW65_MOG_0137,LH198,20,7,213
2973,PHW65_MOG_0137/LH244,PHW65_MOG_0137,LH244,82,7,512
2974,PHW65_MOG_0137/PHB47,PHW65_MOG_0137,PHB47,11,7,277
2975,PHW65_MOG_0137/PHT69,PHW65_MOG_0137,PHT69,20,7,594
2976,PHW65_MOG_0138/LH195,PHW65_MOG_0138,LH195,51,2,809
2977,PHW65_MOG_0138/PHT69,PHW65_MOG_0138,PHT69,20,2,594
2978,PHW65_MOG_0139/LH195,PHW65_MOG_0139,LH195,21,2,809
2979,PHW65_MOG_0139/PHT69,PHW65_MOG_0139,PHT69,28,2,594
2980,PHW65_MOG_0140/LH195,PHW65_MOG_0140,LH195,21,1,809
2981,PHW65_MOG_0142/LH195,PHW65_MOG_0142,LH195,48,2,809
2982,PHW65_MOG_0142/PHT69,PHW65_MOG_0142,PHT69,26,2,594
2983,PHW65_MOG_0143/LH195,PHW65_MOG_0143,LH195,20,2,809
2984,PHW65_MOG_0143/PHT69,PHW65_MOG_0143,PHT69,21,2,594
2985,PHW65_MOG_0145/LH195,PHW65_MOG_0145,LH195,48,2,809
2986,PHW65_MOG_0145/PHT69,PHW65_MOG_0145,PHT69,24,2,594
2987,PHW65_MOG_0146/LH195,PHW65_MOG_0146,LH195,51,2,809
2988,PHW65_MOG_0146/PHT69,PHW65_MOG_0146,PHT69,24,2,594
2989,PHW65_MOG_0148/LH195,PHW65_MOG_0148,LH195,20,2,809
2990,PHW65_MOG_0148/PHT69,PHW65_MOG_0148,PHT69,19,2,594
2991,PHW65_MOG_0150/LH195,PHW65_MOG_0150,LH195,20,2,809
2992,PHW65_MOG_0150/PHT69,PHW65_MOG_0150,PHT69,24,2,594
2993,PHW65_MOG_0152/LH195,PHW65_MOG_0152,LH195,21,2,809
2994,PHW65_MOG_0152/PHT69,PHW65_MOG_0152,PHT69,20,2,594
2995,PHW65_MOG_0153/LH195,PHW65_MOG_0153,LH195,22,2,809
2996,PHW65_MOG_0153/PHT69,PHW65_MOG_0153,PHT69,26,2,594
2997,PHW65_MOG_0155/LH195,PHW65_MOG_0155,LH195,20,2,809
2998,PHW65_MOG_0155/PHT69,PHW65_MOG_0155,PHT69,33,2,594
2999,PHW65_MOG_0156/LH195,PHW65_MOG_0156,LH195,22,2,809
3000,PHW65_MOG_0156/PHT69,PHW65_MOG_0156,PHT69,13,2,594
3001,PHW65_MOG_0157/LH195,PHW65_MOG_0157,LH195,21,2,809
3002,PHW65_MOG_0157/PHT69,PHW65_MOG_0157,PHT69,11,2,594
3003,PHW65_MOG_0159/LH195,PHW65_MOG_0159,LH195,51,2,809
3004,PHW65_MOG_0159/PHT69,PHW65_MOG_0159,PHT69,29,2,594
3005,PHW65_MOG_0160/LH195,PHW65_MOG_0160,LH195,51,2,809
3006,PHW65_MOG_0160/PHT69,PHW65_MOG_0160,PHT69,17,2,594
3007,PHW65_MOG_0162/LH195,PHW65_MOG_0162,LH195,19,2,809
3008,PHW65_MOG_0162/PHT69,PHW65_MOG_0162,PHT69,31,2,594
3009,PHW65_MOG_0163/LH195,PHW65_MOG_0163,LH195,53,2,809
3010,PHW65_MOG_0163/PHT69,PHW65_MOG_0163,PHT69,27,2,594
3011,PHW65_MOG_0170/LH195,PHW65_MOG_0170,LH195,49,2,809
3012,PHW65_MOG_0170/PHT69,PHW65_MOG_0170,PHT69,31,2,594
3013,PHW65_MOG_0172/LH195,PHW65_MOG_0172,LH195,48,2,809
3014,PHW65_MOG_0172/PHT69,PHW65_MOG_0172,PHT69,36,2,594
3015,PHW65_MOG_0173/LH195,PHW65_MOG_0173,LH195,52,2,809
3016,PHW65_MOG_0173/PHT69,PHW65_MOG_0173,PHT69,35,2,594
3017,PHW65_MOG_0175/LH195,PHW65_MOG_0175,LH195,22,2,809
3018,PHW65_MOG_0175/PHT69,PHW65_MOG_0175,PHT69,23,2,594
3019,PHW65_MOG_0176/CG102,PHW65_MOG_0176,CG102,2,8,153
3020,PHW65_MOG_0176/LH185,PHW65_MOG_0176,LH185,12,8,229
3021,PHW65_MOG_0176/LH195,PHW65_MOG_0176,LH195,65,8,809
3022,PHW65_MOG_0176/LH198,PHW65_MOG_0176,LH198,22,8,213
3023,PHW65_MOG_0176/LH244,PHW65_MOG_0176,LH244,80,8,512
3024,PHW65_MOG_0176/PB80,PHW65_MOG_0176,PB80,12,8,165
3025,PHW65_MOG_0176/PHB47,PHW65_MOG_0176,PHB47,5,8,277
3026,PHW65_MOG_0176/PHT69,PHW65_MOG_0176,PHT69,23,8,594
3027,PHW65_MOG_0178/LH195,PHW65_MOG_0178,LH195,50,2,809
3028,PHW65_MOG_0178/PHT69,PHW65_MOG_0178,PHT69,34,2,594
3029,PHW65_MOG_0179/LH195,PHW65_MOG_0179,LH195,51,2,809
3030,PHW65_MOG_0179/PHT69,PHW65_MOG_0179,PHT69,33,2,594
3031,PHW65_MOG_0180/LH195,PHW65_MOG_0180,LH195,21,2,809
3032,PHW65_MOG_0180/PHT69,PHW65_MOG_0180,PHT69,33,2,594
3033,PHW65_MOG_0181/LH195,PHW65_MOG_0181,LH195,49,2,809
3034,PHW65_MOG_0181/PHT69,PHW65_MOG_0181,PHT69,36,2,594
3035,PHW65_MOG_0183/LH195,PHW65_MOG_0183,LH195,50,2,809
3036,PHW65_MOG_0183/PHT69,PHW65_MOG_0183,PHT69,14,2,594
3037,PHW65_MOG_0190/LH195,PHW65_MOG_0190,LH195,22,2,809
3038,PHW65_MOG_0190/PHT69,PHW65_MOG_0190,PHT69,29,2,594
3039,PHW65_MOG_0191/LH195,PHW65_MOG_0191,LH195,22,2,809
3040,PHW65_MOG_0191/PHT69,PHW65_MOG_0191,PHT69,24,2,594
3041,PHW65_MOG_0192/LH195,PHW65_MOG_0192,LH195,21,2,809
3042,PHW65_MOG_0192/PHT69,PHW65_MOG_0192,PHT69,16,2,594
3043,PHW65_MOG_0194/LH195,PHW65_MOG_0194,LH195,20,2,809
3044,PHW65_MOG_0194/PHT69,PHW65_MOG_0194,PHT69,29,2,594
3045,PHW65_MOG_0195/LH195,PHW65_MOG_0195,LH195,20,2,809
3046,PHW65_MOG_0195/PHT69,PHW65_MOG_0195,PHT69,13,2,594
3047,PHW65_MOG_0196/LH195,PHW65_MOG_0196,LH195,50,2,809
3048,PHW65_MOG_0196/PHT69,PHW65_MOG_0196,PHT69,30,2,594
3049,PHW65_MOG_0199/LH195,PHW65_MOG_0199,LH195,21,2,809
3050,PHW65_MOG_0199/PHT69,PHW65_MOG_0199,PHT69,20,2,594
3051,PHW65_MOG_0200/LH195,PHW65_MOG_0200,LH195,21,2,809
3052,PHW65_MOG_0200/PHT69,PHW65_MOG_0200,PHT69,20,2,594
3053,PHW65_MOG_0201/LH195,PHW65_MOG_0201,LH195,51,2,809
3054,PHW65_MOG_0201/PHT69,PHW65_MOG_0201,PHT69,28,2,594
3055,PHW65_MOG_0203/LH195,PHW65_MOG_0203,LH195,20,2,809
3056,PHW65_MOG_0203/PHT69,PHW65_MOG_0203,PHT69,18,2,594
3057,PHW65_MOG_0206/LH195,PHW65_MOG_0206,LH195,21,2,809
3058,PHW65_MOG_0206/PHT69,PHW65_MOG_0206,PHT69,13,2,594
3059,PHW65_MOG_0209/LH195,PHW65_MOG_0209,LH195,51,2,809
3060,PHW65_MOG_0209/PHT69,PHW65_MOG_0209,PHT69,23,2,594
